league,league_name,referee,matches,yellow_cards,second_yellow_cards,red_cards,source,updated_at
SP1,La Liga,Alejandro Hernandez,20,95,0,5,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Adrian Cordero Vega,18,61,0,1,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Alejandro Quintero Gonzalez,18,91,0,11,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,César Soto Grado,18,66,0,5,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Isidro Diaz de Mera Escuderos,18,79,0,8,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Javier Alberola Rojas,18,65,0,4,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Jesus Gil Manzano,18,69,0,4,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Miguel Angel Ortiz Arias,18,63,0,4,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Miguel Sesma Espinosa,18,61,0,0,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Iosu Galech Apezteguia,17,74,0,5,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,José Luis Munuera Montero,17,53,0,4,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Ricardo De Burgos Bengoetxea,17,63,0,2,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Victor Garcia Verdura,17,49,0,2,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Alejandro Muñiz Ruiz,16,65,0,3,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Jose Luis Guzman Mansilla,16,63,0,4,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Juan Martinez Munuera,16,67,0,2,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Mateo Busquets Ferrer,16,79,0,7,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Guillermo Cuadra Fernandez,15,62,0,4,worldsoccerdata,2026-05-08T07:55:59Z
SP1,La Liga,Francisco Hernandez Maeso,14,48,0,3,worldsoccerdata,2026-05-08T07:55:59Z
SP2,Segunda División,Jon Ander Gonzalez Esteban,21,84,0,6,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Luis Bestard Servera,21,102,0,5,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Alejandro Ojaos Valera,20,106,0,7,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Andres Fuentes Molina,20,102,0,5,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Damaso Arcediano Monescillo,20,110,0,9,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Eder Mallo Fernandez,20,114,0,3,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Gorka Etayo Herrera,20,96,0,4,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Rafael Sanchez Lopez,20,83,0,4,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Alejandro Morilla Turrion,19,88,0,5,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Alonso De Ena Wolf,19,116,0,8,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Alvaro Moreno Aragon,19,102,0,4,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Carlos Muniz Munoz,19,79,0,4,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Daniel Palencia Caballero,19,93,0,7,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,German Cid Camacho,19,110,0,6,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Manuel Jesus Orellana Cid,19,125,0,10,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Saul Ais Reig,19,87,0,3,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Jose Antonio Sanchez Villalobos,18,118,0,7,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Manuel Angel Perez Hernandez,17,106,0,6,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Marta Huerta de Aza,17,69,0,3,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Jose Maria Sanchez Martinez,2,9,0,0,worldsoccerdata,2026-05-08T07:57:03Z
SP2,Segunda División,Martin Perez,2,13,0,1,worldsoccerdata,2026-05-08T07:57:03Z
E0,Premier League,Anthony Taylor,28,100,0,1,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Michael Oliver,27,80,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Chris Kavanagh,26,95,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Darren England,22,55,0,1,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Peter Bankes,22,85,0,4,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Samuel Barrott,22,84,0,1,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Stuart Attwell,22,96,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Thomas Bramall,21,76,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Jarred Gillett,20,67,0,1,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Andy Madley,19,53,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Craig Pawson,19,46,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Robert Jones,17,63,0,0,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Simon Hooper,15,51,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Tony Harrington,12,38,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,John Brooks,11,41,0,3,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Michael Salisbury,11,45,0,0,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Paul Tierney,10,33,0,2,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Andrew Kitchen,3,11,0,0,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Farai Hallam,3,9,0,0,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Matt Donohue,3,15,0,0,worldsoccerdata,2026-05-08T07:58:17Z
E0,Premier League,Lewis Smith,1,6,0,1,worldsoccerdata,2026-05-08T07:58:17Z
E1,Championship,Josh Smith,28,101,0,6,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Andrew Kitchen,26,74,0,3,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Anthony Backhouse,25,102,0,0,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Lewis Smith,25,93,0,0,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Matt Donohue,25,99,0,3,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,David Webb,24,63,0,1,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Thomas Kirk,24,88,0,1,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Adam Herczeg,23,80,0,3,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Gavin Ward,23,62,0,3,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Stephen Martin,23,99,0,1,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Tom Nield,23,78,0,1,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Oliver Langford,22,70,0,3,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Farai Hallam,21,67,0,0,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Ben Toner,20,71,0,4,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,John Busby,20,82,0,3,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Ruebyn Ricardo,19,96,0,4,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,James Linington,18,61,0,2,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Leigh Doughty,18,79,0,2,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Samuel Allison,17,52,0,0,worldsoccerdata,2026-05-08T07:59:28Z
E1,Championship,Elliot Bell,12,45,0,1,worldsoccerdata,2026-05-08T07:59:28Z
